"","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population","Estimates of rates of homicides per 100 000 population"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2005"," 2005"," 2005"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Croatia","1.0","1.1","0.8","0.9","1.1","0.7","1.4","1.7","1.1","1.4","1.8","1.0","2.6","3.5","1.8"
"Cuba","5.5","8.5","2.5","5.4","8.5","2.4","4.6","6.8","2.3","6.3","9.4","3.1","5.4","8.0","2.8"
"Cyprus","1.4","1.9","0.8","1.4","2.1","0.6","0.6","1.1","0.0","1.9","3.5","0.3","1.9","2.9","0.9"
"Czechia","0.8","1.0","0.6","0.8","1.0","0.6","0.9","1.2","0.7","1.0","1.3","0.7","1.6","2.2","1.1"
"Democratic People's Republic of Korea","4.4","5.6","3.2","4.4","5.6","3.3","4.7","6.0","3.5","4.9","6.3","3.5","6.1","8.7","3.7"
"Democratic Republic of the Congo","13.3","21.1","5.5","13.4","21.2","5.6","13.8","22.1","5.5","14.2","22.6","5.9","14.5","22.5","6.6"
"Denmark","0.8","0.9","0.7","0.8","0.9","0.7","0.8","1.0","0.7","1.2","1.4","0.9","1.4","1.6","1.2"
"Djibouti","6.8","10.5","3.2","6.9","10.6","3.2","7.4","11.4","3.4","8.1","12.3","3.9","8.8","13.4","4.1"
"Dominican Republic","16.8","29.1","4.6","17.0","29.4","4.7","28.1","48.6","7.7","29.1","49.9","8.2","16.0","27.3","4.6"
"Ecuador","9.3","15.7","2.9","8.8","14.8","2.8","21.6","39.6","3.6","22.5","41.2","3.8","23.5","43.0","3.9"
"Egypt","4.8","7.6","2.0","4.9","7.6","2.2","5.3","8.2","2.3","5.4","8.0","2.7","5.9","8.4","3.4"
"El Salvador","46.0","85.9","10.6","45.8","85.6","10.5","65.9","122.1","15.4","64.5","118.3","15.3","44.1","80.0","10.7"
"Equatorial Guinea","3.4","5.3","1.1","3.4","5.3","1.1","3.5","5.6","1.1","3.7","6.0","1.2","4.0","6.5","1.3"
"Eritrea","7.8","12.2","3.4","7.9","12.2","3.5","8.3","13.3","3.3","9.1","14.3","3.8","9.7","14.8","4.6"
"Estonia","3.7","5.8","1.8","3.5","5.6","1.6","5.2","8.5","2.3","10.2","16.1","5.0","14.8","26.4","4.8"
"Eswatini","20.0","32.7","8.0","20.0","32.8","8.0","19.7","32.7","7.5","15.5","25.9","5.8","21.4","35.3","8.6"
"Ethiopia","7.8","11.6","4.0","7.9","11.8","4.1","8.6","12.8","4.4","9.6","14.4","4.8","11.0","16.5","5.5"
"Fiji","2.5","3.8","1.2","2.5","3.8","1.2","2.5","3.7","1.2","2.4","3.6","1.2","2.4","3.6","1.2"
"Finland","1.3","1.7","0.9","1.3","1.7","0.9","2.0","2.8","1.2","2.1","3.0","1.3","2.9","4.0","1.7"
"France","0.9","1.1","0.7","0.9","1.1","0.7","1.1","1.4","0.8","1.6","2.0","1.1","1.8","2.3","1.3"
"Gabon","8.8","14.2","3.0","9.0","14.7","3.0","9.3","15.1","3.2","9.4","15.4","3.4","10.0","16.5","3.6"
"Gambia","9.3","16.5","2.2","9.4","16.7","2.2","9.9","17.8","2.2","9.9","17.9","2.1","12.6","22.6","2.7"
"Georgia","4.6","8.0","1.5","4.7","8.1","1.6","4.9","8.8","1.4","10.4","17.9","3.6","5.9","10.3","1.9"
"Germany","0.7","0.6","0.8","0.7","0.5","0.9","0.8","0.9","0.7","1.0","1.2","0.9","1.2","1.5","1.0"
"Ghana","9.7","12.3","7.1","9.8","12.4","7.2","10.3","13.2","7.4","10.4","13.1","7.8","10.6","12.4","8.8"
"Greece","1.1","1.6","0.7","0.9","1.2","0.5","1.5","2.4","0.6","1.1","1.4","0.7","1.1","1.6","0.7"
"Grenada","6.3","9.9","2.7","6.3","9.9","2.7","5.7","8.9","2.6","5.2","7.8","2.6","4.7","7.0","2.4"
"Guatemala","25.8","44.4","7.7","28.2","48.7","8.4","42.2","73.5","12.0","43.2","75.7","11.9","26.8","46.8","7.6"
"Guinea","8.9","13.0","4.7","8.9","13.1","4.7","9.3","14.1","4.6","10.2","15.5","4.9","11.4","16.5","6.3"
"Guinea-Bissau","9.2","7.8","10.5","9.2","7.9","10.4","10.4","9.1","11.6","11.8","9.9","13.6","12.8","10.1","15.4"
"Guyana","18.8","29.3","8.1","19.2","30.0","8.3","21.0","32.5","9.5","24.4","38.2","10.5","13.0","20.4","5.7"
"Haiti","28.0","45.3","11.1","27.7","44.9","10.9","28.4","46.3","11.0","25.2","41.6","9.3","24.4","40.1","9.1"
"Honduras","55.5","79.1","32.1","58.3","82.2","34.7","64.4","87.5","41.4","45.5","64.4","26.8","47.5","67.2","27.9"
"Hungary","1.3","1.5","1.0","1.4","1.8","1.1","1.6","2.1","1.1","2.0","2.6","1.4","2.6","3.4","1.8"
"Iceland","1.2","1.5","1.0","0.7","0.9","0.5","1.0","1.3","0.7","1.0","1.3","0.7","2.2","3.0","1.4"
"India","4.1","6.1","2.1","4.2","6.1","2.1","4.3","6.1","2.3","4.4","6.3","2.5","5.5","7.7","3.1"
"Indonesia","4.5","6.3","2.8","4.6","6.4","2.8","4.9","7.0","2.8","5.6","8.1","3.1","5.8","8.4","3.2"
"Iran (Islamic Republic of)","4.5","7.3","1.7","4.6","7.4","1.7","5.3","8.6","1.8","5.5","8.9","1.9","6.3","10.0","2.6"
"Iraq","15.5","22.7","8.2","15.7","23.0","8.1","15.9","23.6","8.1","23.3","33.7","12.6","23.6","34.8","12.2"
"Ireland","0.8","1.2","0.5","0.9","1.3","0.5","1.2","1.8","0.6","1.2","1.9","0.6","1.0","1.4","0.5"
"Israel","1.8","2.6","1.0","1.8","2.7","1.0","2.3","3.4","1.1","3.6","5.3","2.0","3.5","5.2","1.8"
"Italy","0.8","1.1","0.5","0.8","1.1","0.5","0.9","1.2","0.5","1.0","1.5","0.6","1.3","2.0","0.7"
